====================================================================================================
EMIT family-B CERTIFICATE   target a >= 0.8344
  witness: 1024-gon disk, 1024 arc points per curved core
  arc sagitta 4.706e-06  ->  deficit <= 1.600e-05
  search threshold = 0.834416002117   (5-D ceiling is 0.834781)
  4,194,304 seeds (depth 22), hmin 1e-05
====================================================================================================
    1,360,000/4,194,304 seeds       25,821,540 nodes   [  45.0 min,     9,568 nodes/s]
    1,380,000/4,194,304 seeds       25,841,540 nodes   [  45.1 min,     9,542 nodes/s]
    1,400,000/4,194,304 seeds       25,861,540 nodes   [  45.3 min,     9,517 nodes/s]
    1,420,000/4,194,304 seeds       25,881,540 nodes   [  45.4 min,     9,492 nodes/s]
    1,440,000/4,194,304 seeds       25,901,540 nodes   [  45.6 min,     9,468 nodes/s]
    1,460,000/4,194,304 seeds       25,921,540 nodes   [  45.7 min,     9,444 nodes/s]
    1,480,000/4,194,304 seeds       25,985,228 nodes   [  46.2 min,     9,378 nodes/s]
    1,500,000/4,194,304 seeds       53,919,990 nodes   [  92.0 min,     9,773 nodes/s]
    1,520,000/4,194,304 seeds       53,939,990 nodes   [  92.1 min,     9,761 nodes/s]
    1,540,000/4,194,304 seeds       53,959,990 nodes   [  92.3 min,     9,748 nodes/s]
    1,560,000/4,194,304 seeds       54,141,822 nodes   [  92.4 min,     9,766 nodes/s]
    1,580,000/4,194,304 seeds       54,161,822 nodes   [  92.5 min,     9,760 nodes/s]
    1,600,000/4,194,304 seeds       54,181,822 nodes   [  92.6 min,     9,755 nodes/s]
    1,620,000/4,194,304 seeds       54,201,822 nodes   [  92.7 min,     9,750 nodes/s]
    1,640,000/4,194,304 seeds       54,221,822 nodes   [  92.7 min,     9,745 nodes/s]
    1,660,000/4,194,304 seeds       54,241,822 nodes   [  92.8 min,     9,739 nodes/s]
    1,680,000/4,194,304 seeds       54,261,822 nodes   [  92.9 min,     9,734 nodes/s]
    1,700,000/4,194,304 seeds       54,281,822 nodes   [  93.0 min,     9,729 nodes/s]
    1,720,000/4,194,304 seeds       54,301,822 nodes   [  93.1 min,     9,724 nodes/s]
    1,740,000/4,194,304 seeds       76,604,258 nodes   [ 102.8 min,    12,419 nodes/s]
    1,760,000/4,194,304 seeds       76,624,258 nodes   [ 103.0 min,    12,403 nodes/s]
    1,780,000/4,194,304 seeds       76,644,258 nodes   [ 103.1 min,    12,387 nodes/s]
    1,800,000/4,194,304 seeds       76,664,258 nodes   [ 103.3 min,    12,372 nodes/s]
    1,820,000/4,194,304 seeds       76,684,258 nodes   [ 103.4 min,    12,356 nodes/s]
    1,840,000/4,194,304 seeds       76,704,258 nodes   [ 103.6 min,    12,340 nodes/s]
    1,860,000/4,194,304 seeds       76,724,258 nodes   [ 103.8 min,    12,325 nodes/s]
    1,880,000/4,194,304 seeds       76,744,258 nodes   [ 103.9 min,    12,309 nodes/s]
    1,900,000/4,194,304 seeds       76,764,258 nodes   [ 104.1 min,    12,295 nodes/s]
    1,920,000/4,194,304 seeds       76,784,258 nodes   [ 104.2 min,    12,281 nodes/s]
    1,940,000/4,194,304 seeds       78,502,718 nodes   [ 104.3 min,    12,543 nodes/s]
